Running with CUDA on GPU 0	
Epoch 1.00 / 25, i = 1 / 7575, loss = 4.082730	
Epoch 1.01 / 25, i = 2 / 7575, loss = 3.190585	
Epoch 1.01 / 25, i = 3 / 7575, loss = 2.653951	
Epoch 1.01 / 25, i = 4 / 7575, loss = 2.321491	
Epoch 1.02 / 25, i = 5 / 7575, loss = 2.102493	
Epoch 1.02 / 25, i = 6 / 7575, loss = 1.921297	
Epoch 1.02 / 25, i = 7 / 7575, loss = 1.757416	
Epoch 1.03 / 25, i = 8 / 7575, loss = 1.654048	
Epoch 1.03 / 25, i = 9 / 7575, loss = 1.546516	
Epoch 1.03 / 25, i = 10 / 7575, loss = 1.457226	
Epoch 1.04 / 25, i = 11 / 7575, loss = 1.381811	
Epoch 1.04 / 25, i = 12 / 7575, loss = 1.318410	
Epoch 1.04 / 25, i = 13 / 7575, loss = 1.252305	
Epoch 1.05 / 25, i = 14 / 7575, loss = 1.203104	
Epoch 1.05 / 25, i = 15 / 7575, loss = 1.155515	
Epoch 1.05 / 25, i = 16 / 7575, loss = 1.117623	
Epoch 1.06 / 25, i = 17 / 7575, loss = 1.072090	
Epoch 1.06 / 25, i = 18 / 7575, loss = 1.043077	
Epoch 1.06 / 25, i = 19 / 7575, loss = 1.014543	
Epoch 1.07 / 25, i = 20 / 7575, loss = 0.988730	
Epoch 1.07 / 25, i = 21 / 7575, loss = 0.970859	
Epoch 1.07 / 25, i = 22 / 7575, loss = 0.952623	
Epoch 1.08 / 25, i = 23 / 7575, loss = 0.937411	
Epoch 1.08 / 25, i = 24 / 7575, loss = 0.933943	
Epoch 1.08 / 25, i = 25 / 7575, loss = 0.917838	
Epoch 1.09 / 25, i = 26 / 7575, loss = 0.900955	
Epoch 1.09 / 25, i = 27 / 7575, loss = 0.896785	
Epoch 1.09 / 25, i = 28 / 7575, loss = 0.870598	
Epoch 1.10 / 25, i = 29 / 7575, loss = 0.842497	
Epoch 1.10 / 25, i = 30 / 7575, loss = 0.832436	
Epoch 1.10 / 25, i = 31 / 7575, loss = 0.819101	
Epoch 1.11 / 25, i = 32 / 7575, loss = 0.794003	
Epoch 1.11 / 25, i = 33 / 7575, loss = 0.790641	
Epoch 1.11 / 25, i = 34 / 7575, loss = 0.777133	
Epoch 1.12 / 25, i = 35 / 7575, loss = 0.753364	
Epoch 1.12 / 25, i = 36 / 7575, loss = 0.753084	
Epoch 1.12 / 25, i = 37 / 7575, loss = 0.740287	
Epoch 1.13 / 25, i = 38 / 7575, loss = 0.722777	
Epoch 1.13 / 25, i = 39 / 7575, loss = 0.725183	
Epoch 1.13 / 25, i = 40 / 7575, loss = 0.704554	
Epoch 1.14 / 25, i = 41 / 7575, loss = 0.691816	
Epoch 1.14 / 25, i = 42 / 7575, loss = 0.684587	
Epoch 1.14 / 25, i = 43 / 7575, loss = 0.671430	
Epoch 1.15 / 25, i = 44 / 7575, loss = 0.655372	
Epoch 1.15 / 25, i = 45 / 7575, loss = 0.659230	
Epoch 1.15 / 25, i = 46 / 7575, loss = 0.667927	
Epoch 1.16 / 25, i = 47 / 7575, loss = 0.644126	
Epoch 1.16 / 25, i = 48 / 7575, loss = 0.631200	
Epoch 1.16 / 25, i = 49 / 7575, loss = 0.622521	
Epoch 1.17 / 25, i = 50 / 7575, loss = 0.615911	
Epoch 1.17 / 25, i = 51 / 7575, loss = 0.612403	
Epoch 1.17 / 25, i = 52 / 7575, loss = 0.604870	
Epoch 1.17 / 25, i = 53 / 7575, loss = 0.602933	
Epoch 1.18 / 25, i = 54 / 7575, loss = 0.595086	
Epoch 1.18 / 25, i = 55 / 7575, loss = 0.586417	
Epoch 1.18 / 25, i = 56 / 7575, loss = 0.580160	
Epoch 1.19 / 25, i = 57 / 7575, loss = 0.574699	
Epoch 1.19 / 25, i = 58 / 7575, loss = 0.568698	
Epoch 1.19 / 25, i = 59 / 7575, loss = 0.570619	
Epoch 1.20 / 25, i = 60 / 7575, loss = 0.561163	
Epoch 1.20 / 25, i = 61 / 7575, loss = 0.557217	
Epoch 1.20 / 25, i = 62 / 7575, loss = 0.554800	
Epoch 1.21 / 25, i = 63 / 7575, loss = 0.552529	
Epoch 1.21 / 25, i = 64 / 7575, loss = 0.552402	
Epoch 1.21 / 25, i = 65 / 7575, loss = 0.553968	
Epoch 1.22 / 25, i = 66 / 7575, loss = 0.552070	
Epoch 1.22 / 25, i = 67 / 7575, loss = 0.544350	
Epoch 1.22 / 25, i = 68 / 7575, loss = 0.547019	
Epoch 1.23 / 25, i = 69 / 7575, loss = 0.543552	
Epoch 1.23 / 25, i = 70 / 7575, loss = 0.534706	
Epoch 1.23 / 25, i = 71 / 7575, loss = 0.536995	
Epoch 1.24 / 25, i = 72 / 7575, loss = 0.534319	
Epoch 1.24 / 25, i = 73 / 7575, loss = 0.530806	
Epoch 1.24 / 25, i = 74 / 7575, loss = 0.531609	
Epoch 1.25 / 25, i = 75 / 7575, loss = 0.532133	
Epoch 1.25 / 25, i = 76 / 7575, loss = 0.528353	
Epoch 1.25 / 25, i = 77 / 7575, loss = 0.532324	
Epoch 1.26 / 25, i = 78 / 7575, loss = 0.527528	
Epoch 1.26 / 25, i = 79 / 7575, loss = 0.531275	
Epoch 1.26 / 25, i = 80 / 7575, loss = 0.528361	
Epoch 1.27 / 25, i = 81 / 7575, loss = 0.526970	
Epoch 1.27 / 25, i = 82 / 7575, loss = 0.523805	
Epoch 1.27 / 25, i = 83 / 7575, loss = 0.518275	
Epoch 1.28 / 25, i = 84 / 7575, loss = 0.526354	
Epoch 1.28 / 25, i = 85 / 7575, loss = 0.521050	
Epoch 1.28 / 25, i = 86 / 7575, loss = 0.514326	
Epoch 1.29 / 25, i = 87 / 7575, loss = 0.516243	
Epoch 1.29 / 25, i = 88 / 7575, loss = 0.521046	
Epoch 1.29 / 25, i = 89 / 7575, loss = 0.515909	
Epoch 1.30 / 25, i = 90 / 7575, loss = 0.511489	
Epoch 1.30 / 25, i = 91 / 7575, loss = 0.521282	
Epoch 1.30 / 25, i = 92 / 7575, loss = 0.507168	
Epoch 1.31 / 25, i = 93 / 7575, loss = 0.511338	
Epoch 1.31 / 25, i = 94 / 7575, loss = 0.520148	
Epoch 1.31 / 25, i = 95 / 7575, loss = 0.506359	
Epoch 1.32 / 25, i = 96 / 7575, loss = 0.507295	
Epoch 1.32 / 25, i = 97 / 7575, loss = 0.515412	
Epoch 1.32 / 25, i = 98 / 7575, loss = 0.513270	
Epoch 1.33 / 25, i = 99 / 7575, loss = 0.500764	
Epoch 1.33 / 25, i = 100 / 7575, loss = 0.511551	
Epoch 1.33 / 25, i = 101 / 7575, loss = 0.515719	
Epoch 1.34 / 25, i = 102 / 7575, loss = 0.507233	
Epoch 1.34 / 25, i = 103 / 7575, loss = 0.521926	
Epoch 1.34 / 25, i = 104 / 7575, loss = 0.501450	
Epoch 1.35 / 25, i = 105 / 7575, loss = 0.507164	
Epoch 1.35 / 25, i = 106 / 7575, loss = 0.513903	
Epoch 1.35 / 25, i = 107 / 7575, loss = 0.506277	
Epoch 1.36 / 25, i = 108 / 7575, loss = 0.503683	
Epoch 1.36 / 25, i = 109 / 7575, loss = 0.509214	
Epoch 1.36 / 25, i = 110 / 7575, loss = 0.502745	
Epoch 1.37 / 25, i = 111 / 7575, loss = 0.496892	
Epoch 1.37 / 25, i = 112 / 7575, loss = 0.498938	
Epoch 1.37 / 25, i = 113 / 7575, loss = 0.495536	
Epoch 1.38 / 25, i = 114 / 7575, loss = 0.500883	
Epoch 1.38 / 25, i = 115 / 7575, loss = 0.500144	
Epoch 1.38 / 25, i = 116 / 7575, loss = 0.492845	
Epoch 1.39 / 25, i = 117 / 7575, loss = 0.495920	
Epoch 1.39 / 25, i = 118 / 7575, loss = 0.494817	
Epoch 1.39 / 25, i = 119 / 7575, loss = 0.494548	
Epoch 1.40 / 25, i = 120 / 7575, loss = 0.493651	
Epoch 1.40 / 25, i = 121 / 7575, loss = 0.488074	
Epoch 1.40 / 25, i = 122 / 7575, loss = 0.490797	
Epoch 1.41 / 25, i = 123 / 7575, loss = 0.491092	
Epoch 1.41 / 25, i = 124 / 7575, loss = 0.488766	
Epoch 1.41 / 25, i = 125 / 7575, loss = 0.485787	
Epoch 1.42 / 25, i = 126 / 7575, loss = 0.498164	
Epoch 1.42 / 25, i = 127 / 7575, loss = 0.493650	
Epoch 1.42 / 25, i = 128 / 7575, loss = 0.486379	
Epoch 1.43 / 25, i = 129 / 7575, loss = 0.494457	
Epoch 1.43 / 25, i = 130 / 7575, loss = 0.488042	
Epoch 1.43 / 25, i = 131 / 7575, loss = 0.491246	
Epoch 1.44 / 25, i = 132 / 7575, loss = 0.486462	
Epoch 1.44 / 25, i = 133 / 7575, loss = 0.488334	
Epoch 1.44 / 25, i = 134 / 7575, loss = 0.485303	
Epoch 1.45 / 25, i = 135 / 7575, loss = 0.486542	
Epoch 1.45 / 25, i = 136 / 7575, loss = 0.482678	
Epoch 1.45 / 25, i = 137 / 7575, loss = 0.478366	
Epoch 1.46 / 25, i = 138 / 7575, loss = 0.487765	
Epoch 1.46 / 25, i = 139 / 7575, loss = 0.483984	
Epoch 1.46 / 25, i = 140 / 7575, loss = 0.473445	
Epoch 1.47 / 25, i = 141 / 7575, loss = 0.485263	
Epoch 1.47 / 25, i = 142 / 7575, loss = 0.475648	
Epoch 1.47 / 25, i = 143 / 7575, loss = 0.474066	
Epoch 1.48 / 25, i = 144 / 7575, loss = 0.481183	
Epoch 1.48 / 25, i = 145 / 7575, loss = 0.477086	
Epoch 1.48 / 25, i = 146 / 7575, loss = 0.472910	
Epoch 1.49 / 25, i = 147 / 7575, loss = 0.476395	
Epoch 1.49 / 25, i = 148 / 7575, loss = 0.477515	
Epoch 1.49 / 25, i = 149 / 7575, loss = 0.467736	
Epoch 1.50 / 25, i = 150 / 7575, loss = 0.470004	
Epoch 1.50 / 25, i = 151 / 7575, loss = 0.472844	
Epoch 1.50 / 25, i = 152 / 7575, loss = 0.469942	
Epoch 1.50 / 25, i = 153 / 7575, loss = 0.473495	
Epoch 1.51 / 25, i = 154 / 7575, loss = 0.468103	
Epoch 1.51 / 25, i = 155 / 7575, loss = 0.465863	
Epoch 1.51 / 25, i = 156 / 7575, loss = 0.466830	
Epoch 1.52 / 25, i = 157 / 7575, loss = 0.464753	
Epoch 1.52 / 25, i = 158 / 7575, loss = 0.458475	
Epoch 1.52 / 25, i = 159 / 7575, loss = 0.458855	
Epoch 1.53 / 25, i = 160 / 7575, loss = 0.461428	
Epoch 1.53 / 25, i = 161 / 7575, loss = 0.455321	
Epoch 1.53 / 25, i = 162 / 7575, loss = 0.455955	
Epoch 1.54 / 25, i = 163 / 7575, loss = 0.457383	
Epoch 1.54 / 25, i = 164 / 7575, loss = 0.461401	
Epoch 1.54 / 25, i = 165 / 7575, loss = 0.456697	
Epoch 1.55 / 25, i = 166 / 7575, loss = 0.457606	
Epoch 1.55 / 25, i = 167 / 7575, loss = 0.454620	
Epoch 1.55 / 25, i = 168 / 7575, loss = 0.451324	
Epoch 1.56 / 25, i = 169 / 7575, loss = 0.448589	
Epoch 1.56 / 25, i = 170 / 7575, loss = 0.446741	
Epoch 1.56 / 25, i = 171 / 7575, loss = 0.449962	
Epoch 1.57 / 25, i = 172 / 7575, loss = 0.444825	
Epoch 1.57 / 25, i = 173 / 7575, loss = 0.443457	
Epoch 1.57 / 25, i = 174 / 7575, loss = 0.443644	
Epoch 1.58 / 25, i = 175 / 7575, loss = 0.442702	
Epoch 1.58 / 25, i = 176 / 7575, loss = 0.441405	
Epoch 1.58 / 25, i = 177 / 7575, loss = 0.446513	
Epoch 1.59 / 25, i = 178 / 7575, loss = 0.441274	
Epoch 1.59 / 25, i = 179 / 7575, loss = 0.444378	
Epoch 1.59 / 25, i = 180 / 7575, loss = 0.438246	
Epoch 1.60 / 25, i = 181 / 7575, loss = 0.437592	
Epoch 1.60 / 25, i = 182 / 7575, loss = 0.439136	
Epoch 1.60 / 25, i = 183 / 7575, loss = 0.432948	
Epoch 1.61 / 25, i = 184 / 7575, loss = 0.433510	
Epoch 1.61 / 25, i = 185 / 7575, loss = 0.436545	
Epoch 1.61 / 25, i = 186 / 7575, loss = 0.439860	
Epoch 1.62 / 25, i = 187 / 7575, loss = 0.480060	
Epoch 1.62 / 25, i = 188 / 7575, loss = 0.454596	
Epoch 1.62 / 25, i = 189 / 7575, loss = 0.467113	
Epoch 1.63 / 25, i = 190 / 7575, loss = 0.461219	
Epoch 1.63 / 25, i = 191 / 7575, loss = 0.458229	
Epoch 1.63 / 25, i = 192 / 7575, loss = 0.454592	
Epoch 1.64 / 25, i = 193 / 7575, loss = 0.447379	
Epoch 1.64 / 25, i = 194 / 7575, loss = 0.446754	
Epoch 1.64 / 25, i = 195 / 7575, loss = 0.449441	
Epoch 1.65 / 25, i = 196 / 7575, loss = 0.448373	
Epoch 1.65 / 25, i = 197 / 7575, loss = 0.433311	
Epoch 1.65 / 25, i = 198 / 7575, loss = 0.434968	
Epoch 1.66 / 25, i = 199 / 7575, loss = 0.436203	
Epoch 1.66 / 25, i = 200 / 7575, loss = 0.425709	
Epoch 1.66 / 25, i = 201 / 7575, loss = 0.424913	
Epoch 1.67 / 25, i = 202 / 7575, loss = 0.434250	
Epoch 1.67 / 25, i = 203 / 7575, loss = 0.429897	
Epoch 1.67 / 25, i = 204 / 7575, loss = 0.424094	
Epoch 1.68 / 25, i = 205 / 7575, loss = 0.428393	
Epoch 1.68 / 25, i = 206 / 7575, loss = 0.419918	
Epoch 1.68 / 25, i = 207 / 7575, loss = 0.420017	
Epoch 1.69 / 25, i = 208 / 7575, loss = 0.425356	
Epoch 1.69 / 25, i = 209 / 7575, loss = 0.419755	
Epoch 1.69 / 25, i = 210 / 7575, loss = 0.417481	
Epoch 1.70 / 25, i = 211 / 7575, loss = 0.420141	
