Running with CUDA on GPU 0	
Epoch 1.32 / 25, i = 97 / 7575, loss = 0.492824	
Epoch 1.32 / 25, i = 98 / 7575, loss = 0.486799	
Epoch 1.33 / 25, i = 99 / 7575, loss = 0.481843	
Epoch 1.33 / 25, i = 100 / 7575, loss = 0.484761	
Epoch 1.33 / 25, i = 101 / 7575, loss = 0.484836	
Epoch 1.34 / 25, i = 102 / 7575, loss = 0.481417	
Epoch 1.34 / 25, i = 103 / 7575, loss = 0.486034	
Epoch 1.34 / 25, i = 104 / 7575, loss = 0.479980	
Epoch 1.35 / 25, i = 105 / 7575, loss = 0.478302	
Epoch 1.35 / 25, i = 106 / 7575, loss = 0.482335	
Epoch 1.35 / 25, i = 107 / 7575, loss = 0.478790	
Epoch 1.36 / 25, i = 108 / 7575, loss = 0.477079	
Epoch 1.36 / 25, i = 109 / 7575, loss = 0.479092	
Epoch 1.36 / 25, i = 110 / 7575, loss = 0.475265	
Epoch 1.37 / 25, i = 111 / 7575, loss = 0.470467	
Epoch 1.37 / 25, i = 112 / 7575, loss = 0.473394	
Epoch 1.37 / 25, i = 113 / 7575, loss = 0.470614	
Epoch 1.38 / 25, i = 114 / 7575, loss = 0.475270	
Epoch 1.38 / 25, i = 115 / 7575, loss = 0.471548	
Epoch 1.38 / 25, i = 116 / 7575, loss = 0.469179	
Epoch 1.39 / 25, i = 117 / 7575, loss = 0.469604	
Epoch 1.39 / 25, i = 118 / 7575, loss = 0.470361	
Epoch 1.39 / 25, i = 119 / 7575, loss = 0.469311	
Epoch 1.40 / 25, i = 120 / 7575, loss = 0.467807	
Epoch 1.40 / 25, i = 121 / 7575, loss = 0.467209	
Epoch 1.40 / 25, i = 122 / 7575, loss = 0.465037	
Epoch 1.41 / 25, i = 123 / 7575, loss = 0.465731	
Epoch 1.41 / 25, i = 124 / 7575, loss = 0.460968	
Epoch 1.41 / 25, i = 125 / 7575, loss = 0.460459	
Epoch 1.42 / 25, i = 126 / 7575, loss = 0.465876	
Epoch 1.42 / 25, i = 127 / 7575, loss = 0.466744	
Epoch 1.42 / 25, i = 128 / 7575, loss = 0.459742	
Epoch 1.43 / 25, i = 129 / 7575, loss = 0.461893	
Epoch 1.43 / 25, i = 130 / 7575, loss = 0.465313	
Epoch 1.43 / 25, i = 131 / 7575, loss = 0.465209	
Epoch 1.44 / 25, i = 132 / 7575, loss = 0.461953	
Epoch 1.44 / 25, i = 133 / 7575, loss = 0.460585	
Epoch 1.44 / 25, i = 134 / 7575, loss = 0.456721	
Epoch 1.45 / 25, i = 135 / 7575, loss = 0.458927	
Epoch 1.45 / 25, i = 136 / 7575, loss = 0.457207	
Epoch 1.45 / 25, i = 137 / 7575, loss = 0.451138	
Epoch 1.46 / 25, i = 138 / 7575, loss = 0.457227	
Epoch 1.46 / 25, i = 139 / 7575, loss = 0.458592	
Epoch 1.46 / 25, i = 140 / 7575, loss = 0.452470	
Epoch 1.47 / 25, i = 141 / 7575, loss = 0.457231	
Epoch 1.47 / 25, i = 142 / 7575, loss = 0.451698	
Epoch 1.47 / 25, i = 143 / 7575, loss = 0.449762	
Epoch 1.48 / 25, i = 144 / 7575, loss = 0.456848	
Epoch 1.48 / 25, i = 145 / 7575, loss = 0.455843	
Epoch 1.48 / 25, i = 146 / 7575, loss = 0.450231	
Epoch 1.49 / 25, i = 147 / 7575, loss = 0.450041	
Epoch 1.49 / 25, i = 148 / 7575, loss = 0.451062	
Epoch 1.49 / 25, i = 149 / 7575, loss = 0.445989	
Epoch 1.50 / 25, i = 150 / 7575, loss = 0.446132	
Epoch 1.50 / 25, i = 151 / 7575, loss = 0.451078	
Epoch 1.50 / 25, i = 152 / 7575, loss = 0.449440	
Epoch 1.50 / 25, i = 153 / 7575, loss = 0.447924	
Epoch 1.51 / 25, i = 154 / 7575, loss = 0.443842	
Epoch 1.51 / 25, i = 155 / 7575, loss = 0.443753	
Epoch 1.51 / 25, i = 156 / 7575, loss = 0.448636	
Epoch 1.52 / 25, i = 157 / 7575, loss = 0.453971	
Epoch 1.52 / 25, i = 158 / 7575, loss = 0.453696	
Epoch 1.52 / 25, i = 159 / 7575, loss = 0.449267	
Epoch 1.53 / 25, i = 160 / 7575, loss = 0.442676	
Epoch 1.53 / 25, i = 161 / 7575, loss = 0.443533	
Epoch 1.53 / 25, i = 162 / 7575, loss = 0.440002	
Epoch 1.54 / 25, i = 163 / 7575, loss = 0.440416	
Epoch 1.54 / 25, i = 164 / 7575, loss = 0.442299	
Epoch 1.54 / 25, i = 165 / 7575, loss = 0.446339	
Epoch 1.55 / 25, i = 166 / 7575, loss = 0.437472	
Epoch 1.55 / 25, i = 167 / 7575, loss = 0.439648	
Epoch 1.55 / 25, i = 168 / 7575, loss = 0.438917	
Epoch 1.56 / 25, i = 169 / 7575, loss = 0.438292	
Epoch 1.56 / 25, i = 170 / 7575, loss = 0.436152	
Epoch 1.56 / 25, i = 171 / 7575, loss = 0.437786	
Epoch 1.57 / 25, i = 172 / 7575, loss = 0.434842	
Epoch 1.57 / 25, i = 173 / 7575, loss = 0.433119	
Epoch 1.57 / 25, i = 174 / 7575, loss = 0.434801	
Epoch 1.58 / 25, i = 175 / 7575, loss = 0.429002	
Epoch 1.58 / 25, i = 176 / 7575, loss = 0.432626	
Epoch 1.58 / 25, i = 177 / 7575, loss = 0.434639	
Epoch 1.59 / 25, i = 178 / 7575, loss = 0.431241	
Epoch 1.59 / 25, i = 179 / 7575, loss = 0.431527	
Epoch 1.59 / 25, i = 180 / 7575, loss = 0.428661	
Epoch 1.60 / 25, i = 181 / 7575, loss = 0.427612	
Epoch 1.60 / 25, i = 182 / 7575, loss = 0.430045	
Epoch 1.60 / 25, i = 183 / 7575, loss = 0.427293	
Epoch 1.61 / 25, i = 184 / 7575, loss = 0.428795	
Epoch 1.61 / 25, i = 185 / 7575, loss = 0.424774	
Epoch 1.61 / 25, i = 186 / 7575, loss = 0.426663	
Epoch 1.62 / 25, i = 187 / 7575, loss = 0.423084	
Epoch 1.62 / 25, i = 188 / 7575, loss = 0.421541	
Epoch 1.62 / 25, i = 189 / 7575, loss = 0.422897	
Epoch 1.63 / 25, i = 190 / 7575, loss = 0.427401	
Epoch 1.63 / 25, i = 191 / 7575, loss = 0.420645	
Epoch 1.63 / 25, i = 192 / 7575, loss = 0.419944	
Epoch 1.64 / 25, i = 193 / 7575, loss = 0.421129	
Epoch 1.64 / 25, i = 194 / 7575, loss = 0.418609	
Epoch 1.64 / 25, i = 195 / 7575, loss = 0.421834	
Epoch 1.65 / 25, i = 196 / 7575, loss = 0.427667	
Epoch 1.65 / 25, i = 197 / 7575, loss = 0.420164	
Epoch 1.65 / 25, i = 198 / 7575, loss = 0.417475	
Epoch 1.66 / 25, i = 199 / 7575, loss = 0.419908	
Epoch 1.66 / 25, i = 200 / 7575, loss = 0.414233	
Epoch 1.66 / 25, i = 201 / 7575, loss = 0.413316	
Epoch 1.67 / 25, i = 202 / 7575, loss = 0.419374	
Epoch 1.67 / 25, i = 203 / 7575, loss = 0.414871	
Epoch 1.67 / 25, i = 204 / 7575, loss = 0.412552	
Epoch 1.68 / 25, i = 205 / 7575, loss = 0.414781	
Epoch 1.68 / 25, i = 206 / 7575, loss = 0.410351	
Epoch 1.68 / 25, i = 207 / 7575, loss = 0.412112	
Epoch 1.69 / 25, i = 208 / 7575, loss = 0.413553	
Epoch 1.69 / 25, i = 209 / 7575, loss = 0.412347	
Epoch 1.69 / 25, i = 210 / 7575, loss = 0.414249	
Epoch 1.70 / 25, i = 211 / 7575, loss = 0.423402	
Epoch 1.70 / 25, i = 212 / 7575, loss = 0.413371	
Epoch 1.70 / 25, i = 213 / 7575, loss = 0.411460	
Epoch 1.71 / 25, i = 214 / 7575, loss = 0.418541	
Epoch 1.71 / 25, i = 215 / 7575, loss = 0.414246	
Epoch 1.71 / 25, i = 216 / 7575, loss = 0.410704	
Epoch 1.72 / 25, i = 217 / 7575, loss = 0.412979	
Epoch 1.72 / 25, i = 218 / 7575, loss = 0.404272	
Epoch 1.72 / 25, i = 219 / 7575, loss = 0.409180	
Epoch 1.73 / 25, i = 220 / 7575, loss = 0.407441	
Epoch 1.73 / 25, i = 221 / 7575, loss = 0.403760	
Epoch 1.73 / 25, i = 222 / 7575, loss = 0.405315	
Epoch 1.74 / 25, i = 223 / 7575, loss = 0.403979	
Epoch 1.74 / 25, i = 224 / 7575, loss = 0.401666	
Epoch 1.74 / 25, i = 225 / 7575, loss = 0.401104	
Epoch 1.75 / 25, i = 226 / 7575, loss = 0.399414	
Epoch 1.75 / 25, i = 227 / 7575, loss = 0.397633	
Epoch 1.75 / 25, i = 228 / 7575, loss = 0.402160	
Epoch 1.76 / 25, i = 229 / 7575, loss = 0.400674	
Epoch 1.76 / 25, i = 230 / 7575, loss = 0.398398	
Epoch 1.76 / 25, i = 231 / 7575, loss = 0.398286	
Epoch 1.77 / 25, i = 232 / 7575, loss = 0.397292	
