Running with CUDA on GPU 0	
Epoch 1.32 / 25, i = 97 / 7575, loss = 0.586630	
Epoch 1.32 / 25, i = 98 / 7575, loss = 0.583520	
Epoch 1.33 / 25, i = 99 / 7575, loss = 0.576462	
Epoch 1.33 / 25, i = 100 / 7575, loss = 0.580130	
Epoch 1.33 / 25, i = 101 / 7575, loss = 0.573625	
Epoch 1.34 / 25, i = 102 / 7575, loss = 0.571579	
Epoch 1.34 / 25, i = 103 / 7575, loss = 0.581541	
Epoch 1.34 / 25, i = 104 / 7575, loss = 0.567318	
Epoch 1.35 / 25, i = 105 / 7575, loss = 0.566498	
Epoch 1.35 / 25, i = 106 / 7575, loss = 0.569411	
Epoch 1.35 / 25, i = 107 / 7575, loss = 0.562411	
Epoch 1.36 / 25, i = 108 / 7575, loss = 0.563722	
Epoch 1.36 / 25, i = 109 / 7575, loss = 0.567288	
Epoch 1.36 / 25, i = 110 / 7575, loss = 0.556488	
Epoch 1.37 / 25, i = 111 / 7575, loss = 0.551931	
Epoch 1.37 / 25, i = 112 / 7575, loss = 0.555807	
Epoch 1.37 / 25, i = 113 / 7575, loss = 0.553745	
Epoch 1.38 / 25, i = 114 / 7575, loss = 0.558657	
Epoch 1.38 / 25, i = 115 / 7575, loss = 0.559211	
Epoch 1.38 / 25, i = 116 / 7575, loss = 0.549869	
Epoch 1.39 / 25, i = 117 / 7575, loss = 0.549001	
Epoch 1.39 / 25, i = 118 / 7575, loss = 0.556926	
Epoch 1.39 / 25, i = 119 / 7575, loss = 0.547947	
Epoch 1.40 / 25, i = 120 / 7575, loss = 0.550053	
Epoch 1.40 / 25, i = 121 / 7575, loss = 0.546281	
Epoch 1.40 / 25, i = 122 / 7575, loss = 0.547065	
Epoch 1.41 / 25, i = 123 / 7575, loss = 0.545672	
Epoch 1.41 / 25, i = 124 / 7575, loss = 0.539459	
Epoch 1.41 / 25, i = 125 / 7575, loss = 0.539200	
Epoch 1.42 / 25, i = 126 / 7575, loss = 0.545519	
Epoch 1.42 / 25, i = 127 / 7575, loss = 0.542746	
Epoch 1.42 / 25, i = 128 / 7575, loss = 0.536273	
Epoch 1.43 / 25, i = 129 / 7575, loss = 0.546065	
Epoch 1.43 / 25, i = 130 / 7575, loss = 0.539479	
Epoch 1.43 / 25, i = 131 / 7575, loss = 0.537838	
Epoch 1.44 / 25, i = 132 / 7575, loss = 0.539811	
Epoch 1.44 / 25, i = 133 / 7575, loss = 0.538848	
Epoch 1.44 / 25, i = 134 / 7575, loss = 0.531068	
Epoch 1.45 / 25, i = 135 / 7575, loss = 0.533476	
Epoch 1.45 / 25, i = 136 / 7575, loss = 0.534214	
Epoch 1.45 / 25, i = 137 / 7575, loss = 0.528384	
Epoch 1.46 / 25, i = 138 / 7575, loss = 0.538567	
Epoch 1.46 / 25, i = 139 / 7575, loss = 0.533771	
Epoch 1.46 / 25, i = 140 / 7575, loss = 0.534302	
Epoch 1.47 / 25, i = 141 / 7575, loss = 0.533691	
Epoch 1.47 / 25, i = 142 / 7575, loss = 0.532038	
Epoch 1.47 / 25, i = 143 / 7575, loss = 0.524779	
Epoch 1.48 / 25, i = 144 / 7575, loss = 0.533331	
Epoch 1.48 / 25, i = 145 / 7575, loss = 0.533454	
Epoch 1.48 / 25, i = 146 / 7575, loss = 0.527942	
Epoch 1.49 / 25, i = 147 / 7575, loss = 0.526839	
Epoch 1.49 / 25, i = 148 / 7575, loss = 0.532981	
Epoch 1.49 / 25, i = 149 / 7575, loss = 0.527707	
Epoch 1.50 / 25, i = 150 / 7575, loss = 0.521158	
Epoch 1.50 / 25, i = 151 / 7575, loss = 0.525539	
Epoch 1.50 / 25, i = 152 / 7575, loss = 0.527127	
Epoch 1.50 / 25, i = 153 / 7575, loss = 0.536021	
Epoch 1.51 / 25, i = 154 / 7575, loss = 0.525020	
Epoch 1.51 / 25, i = 155 / 7575, loss = 0.524614	
Epoch 1.51 / 25, i = 156 / 7575, loss = 0.525841	
Epoch 1.52 / 25, i = 157 / 7575, loss = 0.525802	
