Running with CUDA on GPU 0	
Epoch 1.00 / 25, i = 1 / 7575, loss = 4.225132	
Epoch 1.01 / 25, i = 2 / 7575, loss = 2.611713	
Epoch 1.01 / 25, i = 3 / 7575, loss = 1.956654	
Epoch 1.01 / 25, i = 4 / 7575, loss = 1.652757	
Epoch 1.02 / 25, i = 5 / 7575, loss = 1.501715	
Epoch 1.02 / 25, i = 6 / 7575, loss = 1.360426	
Epoch 1.02 / 25, i = 7 / 7575, loss = 1.255518	
Epoch 1.03 / 25, i = 8 / 7575, loss = 1.186451	
Epoch 1.03 / 25, i = 9 / 7575, loss = 1.117234	
Epoch 1.03 / 25, i = 10 / 7575, loss = 1.052392	
Epoch 1.04 / 25, i = 11 / 7575, loss = 1.001908	
Epoch 1.04 / 25, i = 12 / 7575, loss = 0.967301	
Epoch 1.04 / 25, i = 13 / 7575, loss = 0.930479	
Epoch 1.05 / 25, i = 14 / 7575, loss = 0.895290	
Epoch 1.05 / 25, i = 15 / 7575, loss = 0.869168	
Epoch 1.05 / 25, i = 16 / 7575, loss = 0.837570	
Epoch 1.06 / 25, i = 17 / 7575, loss = 0.815264	
Epoch 1.06 / 25, i = 18 / 7575, loss = 0.811806	
Epoch 1.06 / 25, i = 19 / 7575, loss = 0.815589	
Epoch 1.07 / 25, i = 20 / 7575, loss = 0.790324	
Epoch 1.07 / 25, i = 21 / 7575, loss = 0.759367	
Epoch 1.07 / 25, i = 22 / 7575, loss = 0.748143	
Epoch 1.08 / 25, i = 23 / 7575, loss = 0.702528	
Epoch 1.08 / 25, i = 24 / 7575, loss = 0.731604	
Epoch 1.08 / 25, i = 25 / 7575, loss = 0.682662	
Epoch 1.09 / 25, i = 26 / 7575, loss = 0.680508	
Epoch 1.09 / 25, i = 27 / 7575, loss = 0.653108	
Epoch 1.09 / 25, i = 28 / 7575, loss = 0.638787	
Epoch 1.10 / 25, i = 29 / 7575, loss = 0.625322	
Epoch 1.10 / 25, i = 30 / 7575, loss = 0.607969	
Epoch 1.10 / 25, i = 31 / 7575, loss = 0.596697	
Epoch 1.11 / 25, i = 32 / 7575, loss = 0.578220	
Epoch 1.11 / 25, i = 33 / 7575, loss = 0.570718	
Epoch 1.11 / 25, i = 34 / 7575, loss = 0.566699	
Epoch 1.12 / 25, i = 35 / 7575, loss = 0.545604	
Epoch 1.12 / 25, i = 36 / 7575, loss = 0.548917	
Epoch 1.12 / 25, i = 37 / 7575, loss = 0.540967	
Epoch 1.13 / 25, i = 38 / 7575, loss = 0.531682	
Epoch 1.13 / 25, i = 39 / 7575, loss = 0.536982	
Epoch 1.13 / 25, i = 40 / 7575, loss = 0.525392	
Epoch 1.14 / 25, i = 41 / 7575, loss = 0.519480	
Epoch 1.14 / 25, i = 42 / 7575, loss = 0.518970	
Epoch 1.14 / 25, i = 43 / 7575, loss = 0.518544	
Epoch 1.15 / 25, i = 44 / 7575, loss = 0.506651	
Epoch 1.15 / 25, i = 45 / 7575, loss = 0.510394	
Epoch 1.15 / 25, i = 46 / 7575, loss = 0.511084	
Epoch 1.16 / 25, i = 47 / 7575, loss = 0.506436	
Epoch 1.16 / 25, i = 48 / 7575, loss = 0.498465	
Epoch 1.16 / 25, i = 49 / 7575, loss = 0.500649	
Epoch 1.17 / 25, i = 50 / 7575, loss = 0.499480	
Epoch 1.17 / 25, i = 51 / 7575, loss = 0.497001	
Epoch 1.17 / 25, i = 52 / 7575, loss = 0.497576	
Epoch 1.17 / 25, i = 53 / 7575, loss = 0.498006	
Epoch 1.18 / 25, i = 54 / 7575, loss = 0.494735	
Epoch 1.18 / 25, i = 55 / 7575, loss = 0.492780	
Epoch 1.18 / 25, i = 56 / 7575, loss = 0.493523	
Epoch 1.19 / 25, i = 57 / 7575, loss = 0.487404	
Epoch 1.19 / 25, i = 58 / 7575, loss = 0.486816	
Epoch 1.19 / 25, i = 59 / 7575, loss = 0.491241	
Epoch 1.20 / 25, i = 60 / 7575, loss = 0.485521	
Epoch 1.20 / 25, i = 61 / 7575, loss = 0.481204	
Epoch 1.20 / 25, i = 62 / 7575, loss = 0.483585	
Epoch 1.21 / 25, i = 63 / 7575, loss = 0.485842	
Epoch 1.21 / 25, i = 64 / 7575, loss = 0.485280	
Epoch 1.21 / 25, i = 65 / 7575, loss = 0.488072	
Epoch 1.22 / 25, i = 66 / 7575, loss = 0.486415	
Epoch 1.22 / 25, i = 67 / 7575, loss = 0.481261	
Epoch 1.22 / 25, i = 68 / 7575, loss = 0.483252	
Epoch 1.23 / 25, i = 69 / 7575, loss = 0.483860	
Epoch 1.23 / 25, i = 70 / 7575, loss = 0.484988	
Epoch 1.23 / 25, i = 71 / 7575, loss = 0.483036	
Epoch 1.24 / 25, i = 72 / 7575, loss = 0.489759	
Epoch 1.24 / 25, i = 73 / 7575, loss = 0.472925	
Epoch 1.24 / 25, i = 74 / 7575, loss = 0.481472	
Epoch 1.25 / 25, i = 75 / 7575, loss = 0.477385	
Epoch 1.25 / 25, i = 76 / 7575, loss = 0.474935	
Epoch 1.25 / 25, i = 77 / 7575, loss = 0.479384	
Epoch 1.26 / 25, i = 78 / 7575, loss = 0.475067	
Epoch 1.26 / 25, i = 79 / 7575, loss = 0.472875	
Epoch 1.26 / 25, i = 80 / 7575, loss = 0.477410	
Epoch 1.27 / 25, i = 81 / 7575, loss = 0.472462	
Epoch 1.27 / 25, i = 82 / 7575, loss = 0.472702	
Epoch 1.27 / 25, i = 83 / 7575, loss = 0.471604	
Epoch 1.28 / 25, i = 84 / 7575, loss = 0.472166	
Epoch 1.28 / 25, i = 85 / 7575, loss = 0.469213	
